direction,records,records_loosened,records_tightened,published_name,gbif_species,old_taxon_id,old_taicol_id,old_scientific_name,old_common_name_zh,new_taxon_id,new_taicol_id,new_scientific_name,new_common_name_zh,precision_before,precision_after,resolved_via,note
tightens,119,0,119,Sibynophis chinensis chinensis,Sibynophis chinensis,102407,t0102407,Sibynophis chinensis chinensis,黑頭蛇,102407,t0102407,Sibynophis chinensis chinensis,黑頭蛇,exact 119,coarse_10km 119,published,newly blurred; safe
tightens,117,0,117,Calamaria pavimentata pavimentata,Calamaria pavimentata,102404,t0102404,Calamaria pavimentata pavimentata,鐵線蛇,102404,t0102404,Calamaria pavimentata pavimentata,鐵線蛇,exact 117,coarse_10km 117,published,newly blurred; safe
tightens,46,0,46,Hipposideros armiger terasensis,Hipposideros armiger,85749,t0085749,Hipposideros armiger terasensis,臺灣葉鼻蝠,85749,t0085749,Hipposideros armiger terasensis,臺灣葉鼻蝠,exact 46,coarse_50km 46,published,newly blurred; safe
tightens,40,0,40,Sinonatrix percarinata suriki,Trimerodytes percarinatus,86249,t0086249,Trimerodytes percarinatus suriki,白腹游蛇,86249,t0086249,Trimerodytes percarinatus suriki,白腹游蛇,exact 40,coarse_10km 40,crosswalk,newly blurred; safe
tightens,14,0,14,Canis lupus familiaris,Canis lupus,85383,t0085383,Canis familiaris,犬,85383,t0085383,Canis familiaris,犬,exact 14,coarse_10km 14,crosswalk,newly blurred; safe
tightens,8,0,8,Nyctalus plancyi velutinus,Nyctalus plancyi,85987,t0085987,Nyctalus plancyi velutinus,絨山蝠,85987,t0085987,Nyctalus plancyi velutinus,絨山蝠,exact 8,coarse_10km 8,published,newly blurred; safe
tightens,5,0,5,Coelops frithii formosanus,Coelops frithii,85472,t0085472,Coelops frithii formosanus,臺灣無尾葉鼻蝠,85472,t0085472,Coelops frithii formosanus,臺灣無尾葉鼻蝠,coarse_10km 5,coarse_50km 5,published,newly blurred; safe
tightens,1,0,1,Garrulus glandarius taivanus,Garrulus glandarius,29283,t0029283,Garrulus glandarius taivanus,松鴉,29283,t0029283,Garrulus glandarius taivanus,松鴉,exact 1,coarse_10km 1,published,newly blurred; safe
unchanged,2004,0,0,Cyclophiops major,Ptyas major,30820,t0030820,Cyclophiops major,青蛇,30820,t0030820,Cyclophiops major,青蛇,exact 2004,exact 2004,published,
unchanged,1435,0,0,Passer montanus saturatus,Passer montanus,31653,t0031653,Passer montanus saturatus,麻雀,31653,t0031653,Passer montanus saturatus,麻雀,exact 1435,exact 1435,published,
unchanged,1250,0,0,Streptopelia tranquebarica humilis,Streptopelia tranquebarica,86301,t0086301,Streptopelia tranquebarica humilis,紅鳩,86301,t0086301,Streptopelia tranquebarica humilis,紅鳩,exact 1250,exact 1250,published,
unchanged,1053,0,0,Lycodon rufozonatus rufozonatus,Lycodon rufozonatus,102405,t0102405,Lycodon rufozonatus rufozonatus,紅斑蛇,102405,t0102405,Lycodon rufozonatus rufozonatus,紅斑蛇,exact 1053,exact 1053,published,
unchanged,891,0,0,Trimeresurus stejnegeri stejnegeri,Trimeresurus stejnegeri,102408,t0102408,Trimeresurus stejnegeri stejnegeri,赤尾青竹絲,102408,t0102408,Trimeresurus stejnegeri stejnegeri,赤尾青竹絲,exact 891,exact 891,published,
unchanged,747,0,0,Melogale moschata subaurantiaca,Melogale moschata,27888,t0027888,Melogale subaurantiaca,鼬貛,27888,t0027888,Melogale subaurantiaca,鼬貛,exact 747,exact 747,crosswalk,
unchanged,549,0,0,Lycodon ruhstrati ruhstrati,Lycodon ruhstrati,102406,t0102406,Lycodon ruhstrati ruhstrati,白梅花蛇,102406,t0102406,Lycodon ruhstrati ruhstrati,白梅花蛇,exact 549,exact 549,published,
unchanged,499,0,0,Pycnonotus sinensis formosae,Pycnonotus sinensis,86192,t0086192,Pycnonotus sinensis formosae,白頭翁,86192,t0086192,Pycnonotus sinensis formosae,白頭翁,exact 499,exact 499,published,
unchanged,481,0,0,Hylarana guentheri,Sylvirana guentheri,33142,t0033142,Hylarana guentheri,貢德氏赤蛙,33142,t0033142,Hylarana guentheri,貢德氏赤蛙,exact 481,exact 481,published,
unchanged,445,0,0,Xenochrophis piscator,Xenochrophis piscator,48853,t0048853,Fowlea flavipunctatus,草花蛇,48853,t0048853,Fowlea flavipunctatus,草花蛇,coarse_10km 445,coarse_10km 445,crosswalk,
unchanged,395,0,0,Callosciurus erythraeus thaiwanensis,Callosciurus erythraeus,85369,t0085369,Callosciurus erythraeus thaiwanensis,赤腹松鼠,85369,t0085369,Callosciurus erythraeus thaiwanensis,赤腹松鼠,exact 395,exact 395,published,
unchanged,326,0,0,Streptopelia chinensis chinensis,Spilopelia chinensis,102334,t0102334,Spilopelia chinensis chinensis,珠頸斑鳩,102334,t0102334,Spilopelia chinensis chinensis,珠頸斑鳩,exact 326,exact 326,crosswalk,
unchanged,317,0,0,Gallinula chloropus chloropus,Gallinula chloropus,29265,t0029265,Gallinula chloropus chloropus,紅冠水雞,29265,t0029265,Gallinula chloropus chloropus,紅冠水雞,exact 317,exact 317,published,
unchanged,310,0,0,Oreocryptophis porphyraceus kawakamii,Oreocryptophis porphyraceus,86017,t0086017,Oreocryptophis porphyraceus kawakamii,紅竹蛇,86017,t0086017,Oreocryptophis porphyraceus kawakamii,紅竹蛇,exact 310,exact 310,published,
unchanged,257,0,0,Nycticorax nycticorax nycticorax,Nycticorax nycticorax,85989,t0085989,Nycticorax nycticorax nycticorax,夜鷺,85989,t0085989,Nycticorax nycticorax nycticorax,夜鷺,exact 257,exact 257,published,
unchanged,240,0,0,Amaurornis phoenicurus chinensis,Amaurornis phoenicurus,85213,t0085213,Amaurornis phoenicurus chinensis,白腹秧雞,85213,t0085213,Amaurornis phoenicurus chinensis,白腹秧雞,exact 240,exact 240,published,
unchanged,236,0,0,Caprimulgus affinis stictomus,Caprimulgus affinis,85386,t0085386,Caprimulgus affinis stictomus,南亞夜鷹,85386,t0085386,Caprimulgus affinis stictomus,南亞夜鷹,exact 236,exact 236,published,
